모집구분,관리소명,모집공고명,모집공고일,당첨자발표일,문의전화,전용면적,모집호수, 계약금 , 잔금 , 월임대료 
임대상가,의정부장암1관리소,의정부장암1단지 임대상가 202호 입점자 모집 공고,2020-01-09,2020-01-16,031-871-1057,54.51,1,2686200 ,10744800 ,313420 
임대상가,대구안심1관리소,대구안심1단지 임대상가 입점자 모집공고(상가 지하호),2020-01-13,2020-01-28,053-964-4548,126.65,1,2274000 ,9096000 ,423290 
임대상가,서울우면관리소,서울우면단지 임대상가 입점자 모집 재공고(105호),2020-01-13,2020-01-21,02-578-0503,32.1,1,5459000 ,21836000 ,584030 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-01-13,2020-01-29,061-721-1643,33.31,1,1763000 ,7052000 ,244870 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-01-13,2020-01-29,061-721-1643,33.15,1,1666000 ,6668000 ,231500 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-01-13,2020-01-29,061-721-1643,16.57,1,852000 ,3408000 ,118360 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-01-13,2020-01-29,061-721-1643,23.35,1,1349000 ,5398000 ,187430 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-01-13,2020-01-29,061-721-1643,401.5,1,3448000 ,13792000 ,478900 
임대상가,대구본동관리소,대구본동 임대상가 입점자 모집 공고(상가110호),2020-01-13,2020-01-22,053-641-7551,38,1,3311000 ,13247000 ,443620 
임대상가,서울번동2관리소,서울번동2단지 임대상가 입점자 모집 공고(201동 지하 15호),2020-01-14,2020-01-21,02-987-1462,20.11,15,861000 ,3446000 ,66300 
임대상가,보령명천2관리소,보령명천2단지 임대상가 입점자 모집공고,2020-01-15,2020-01-23,041-936-0653,31.84,1,1026000 ,4015000 ,142530 
임대상가,대전판암4관리소,대전판암4단지 임대상가 입점자 모집공고,2020-01-15,2020-01-23,042-271-0346,37.49,1,3453000 ,13812000 ,479590 
임대상가,대전판암4관리소,대전판암4단지 임대상가 입점자 모집공고,2020-01-15,2020-01-23,042-271-0346,126.65,1,1576000 ,6305000 ,218930 
임대상가,진해자은관리소,진해자은1 단지 103호 임대상가 입점자 모집 공고,2020-01-15,2020-01-31,055-546-7305,32.1,1,1147600 ,4590400 ,159400 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-01-15,2020-01-23,042-484-2592,37.95,1,2280000 ,9119000 ,316640 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-01-15,2020-01-23,042-484-2592,38.04,1,2284000 ,9138000 ,317300 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-01-15,2020-01-23,042-484-2592,54.51,2,3324000 ,13297000 ,416710 
임대상가,공주옥룡1관리소,공주옥룡 1단지 임대상가 입점자 모집공고 ,2020-01-15,2020-01-23,041-856-5898,27.75,1,1967800 ,7871200 ,273310 
임대상가,공주옥룡1관리소,공주옥룡 1단지 임대상가 입점자 모집공고 ,2020-01-15,2020-01-23,041-856-5898,23.13,1,1639800 ,6559200 ,227760 
임대상가,천안성정4관리소,천안성정4단지 임대상가 입점자 모집공고,2020-01-15,2020-01-23,041-575-5171,240.22,1,4702000 ,18808000 ,653080 
임대상가,대전법동3관리소,대전법동3 영구임대 상가 모집공고(지하)  ,2020-01-15,2020-01-23,042-626-6404,583.4,1,13452000 ,53809000 ,1868370 
임대상가,광주하남1관리소,광주하남1-영구임대상가 입점자 모집공고,2020-01-16,2020-01-29,062-951-6691,37.41,1,3076000 ,12307000 ,427310 
임대상가,광주하남1관리소,광주하남1-영구임대상가 입점자 모집공고,2020-01-16,2020-01-29,062-951-6691,37.49,1,3215000 ,12860000 ,446540 
임대상가,안동옥동2관리소,안동옥동2 임대상가(105호) 입점자 모집 공고,2020-01-16,2020-01-29,054-859-3964,25.05,1,1476000 ,5904000 ,182460 
임대상가,서울대방1관리소,서울대방1단지 임대상가 입점자 모집공고 ,2020-01-17,2020-01-31,02-824-9974,33.31,1,4087600 ,16350400 ,851620 
임대상가,서울대방1관리소,서울대방1단지 임대상가 입점자 모집공고 ,2020-01-17,2020-01-31,02-824-9974,28.5,1,3409200 ,13636800 ,710250 
임대상가,서울대방1관리소,서울대방1단지 임대상가 입점자 모집공고 ,2020-01-17,2020-01-31,02-824-9974,33.51,1,3483400 ,13933600 ,318060 
임대상가,인천연수1관리소,임대상가 입점자 모집공고 ,2020-01-21,2020-01-28,032-811-0437,37.41,1,2660000 ,10641000 ,554240 
임대상가,인천연수1관리소,임대상가 입점자 모집공고 ,2020-01-21,2020-01-28,032-811-0437,54.51,1,2013000 ,8055000 ,419530 
임대상가,진주가좌1관리소,"진주가좌1 임대상가 입점자 모집공고(상가 104호, 204호)",2020-01-22,2020-02-07,055-756-7077,28.88,1,2076000 ,8302000 ,288300 
임대상가,진주가좌1관리소,"진주가좌1 임대상가 입점자 모집공고(상가 104호, 204호)",2020-01-22,2020-02-07,055-756-7077,27.75,1,1084000 ,4337000 ,150600 
임대상가,인천만수7관리소,인천만수주공7단지 영구임대상가 입점자 모집공고,2020-01-28,2020-02-05,032-462-9901,41.88,1,1411000 ,5648000 ,294160 
임대상가,인천만수7관리소,인천만수주공7단지 영구임대상가 입점자 모집공고,2020-01-28,2020-02-05,032-462-9901,20.07,1,577000 ,2310000 ,120290 
